"Наслов","Верзија","Категорија","Датум настанка","Датум измене","УРЛ","Слика","Опис"
"ГНУ-ова ОЈЛ","3.0","Софтвер","06.08.2001","30.07.2007","/tekstovi/softver/ojl","","Незванични превод ГНУ-ове опште јавне лиценце на српски"
"КАКОДА употребљавам ГНУ-ов систем за изградњу","1.2","Софтвер","26.03.2006","02.04.2006","/tekstovi/softver/gnu-szi","","Упутство за прављење инсталационог програма у ГНУ-овом систему за изградњу"
"Рачунање броја елемената одређеног реда у коначној Абеловој групи","","Математика","18.07.2005","30.12.2009","/tekstovi/matematika/brelred","","Опште решење проблема из Алгебре 1"
"Диференцијални рачун за неупућене","","Математика","","","/tekstovi/matematika/dzn","","Поступан увод у диференцијални рачун са примерима"
"КАКОДА подесим и користим ГНУ-ов Емакс за унос текста на српском","1.01","Софтвер","14.08.2008","30.07.2014","/tekstovi/softver/emaks-cir","","Подешавање Емакса за српски"
"Матрице преласка и хомогене координате","0.1","Математика","01.09.2009","23.09.2009","/tekstovi/matematika/koord","","Кратко расписивање матрица преласка из Нацртне геометрије"
"Формуле из Реалних и комплексних функција","0.8","Математика","01.07.2010","26.07.2010","/tekstovi/matematika/rikfteo.pdf","","Списак најчешћих формула, дефиниција, итд."
"Формуле из Вероватноће и статистике","1.2","Математика","01.05.2010","05.10.2010","/tekstovi/matematika/visteo.pdf","","Списак најчешћих формула, расподела, дефиниција, итд."
"Groff на српском","1.0","Софтвер","10.02.2021","","/tekstovi/softver/groff-cir","","Подешавање система за форматирање текста Groff за српски"

